Titre,Titre_original,Annee,Public,Duree,Note,Type,Description,Actors,Country,Langue,Episode,Saison
Naruto: Shippuden,Original title: Naruto: Shippûden,2007–2017,Tous Public,"TV Series,24,m",8.6,"Animation,Action,Adventure","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura,Dave Wittenberg,Kazuhiko Inoue,Kyle Hebert,Yuri Lowenthal,Noriaki Sugiyama,Masako Katsuki,Debi Mae West,Colleen O'Shaughnessey,Steve Blum,Stephanie Sheh,Shôtarô Morikubo,Tom Gibis,Rikiya Koyama,Troy Baker",Japan,"English,Japanese",502,1
Les allumés,Original title: Spaced,1999–2001,TV-14,"TV Series,25,m",8.5,"Action,Comedy","Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.","Simon Pegg,Jessica Hynes,Julia Deakin,Nick Frost,Mark Heap,Katy Carmichael,Aida the Dog,Lucy Akhurst,Anna Wilson-Jones,Bill Bailey,James Lance,Peter Serafinowicz,Clive Russell,Sally Grace,Rowena Cooper,Michael Smiley,Gemma Padley,Jonathan Ryland",United Kingdom,English,14,2
Mr. Bean,,1990–1995,Tous publics,"TV Series,25,m",8.5,"Comedy,Family","Bumbling, childlike Mr. Bean has trouble completing the simplest of tasks in day-to-day life, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.","Rowan Atkinson,Robin Driscoll,Matilda Ziegler,Matthew Ashforde,Roger Sloman,Susie McKenna,Nick Hancock,C.J. Allen,Rupert Vansittart,Howard Goodall,Hugo Mendez,Christopher Driscoll,Rupert Bates,Angus Deayton,Paul Bown,Dave O'Higgins,Richard Wilson,Michael Fenton Stevens",United Kingdom,English,15,1
Nord et Sud,Original title: North & South,2004,TV-PG,"TV Mini Series,3,h, ,55,m",8.6,"Drama,Romance","North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.","Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith,Sinéad Cusack,Brendan Coyle,Pauline Quirke,Jo Joyner,Kay Lyon,Lesley Manville,Anna Maxwell Martin,Emma Owen,Jane Booker,Tom Charnock,William Houston,John Light,Brian Protheroe,Will Tacey,Lucy Brown",United Kingdom,English,4,1
Cobra Kai,,2018– ,16,"TV Series,30,m",8.6,"Action,Comedy,Drama","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Courtney Henggeler,Mary Mouser,Tanner Buchanan,Ralph Macchio,Xolo Maridueña,William Zabka,Jacob Bertrand,Gianni DeCenzo,Martin Kove,Vanessa Rubio,Peyton List,Aedin Mincks,Owen Morgan,Khalil Everage,Nichole Brown,Hannah Kepple,Joe Seo,Griffin Santopietro",United States,English,41,4
The Family Man,,2019– ,16,"TV Series,45,m",8.8,"Action,Comedy,Drama","A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.","Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani,Sharib Hashmi,Ashlesha Thakur,Vedant Sinha,Shahab Ali,Shreya Dhanwanthary,Sharad Kelkar,Dalip Tahil,Darshan Kumaar,Sunny Hinduja,Aritro Rudraneil Banerjee,Pawan Chopra,Neeraj Madhav,Mime Gopi,Srikrishna Dayal,Vijay Vikram Singh",India,Hindi,19,2
Yellowstone,,2018– ,10,"TV Series,1,h",8.7,"Drama,Western",A ranching family in Montana faces off against others encroaching on their land.,"Kevin Costner,Luke Grimes,Kelly Reilly,Wes Bentley,Cole Hauser,Kelsey Asbille,Brecken Merrill,Jefferson White,Gil Birmingham,Forrie J. Smith,Denim Richards,Ian Bohen,Mo Brings Plenty,Jake Ream,Danny Huston,Ryan Bingham,Wendy Moniz-Grillo,Jen Landon",United States,English,37,4
The Eric Andre Show,,2012– ,TV-MA,"TV Series,11,m",8.6,Comedy,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.","Eric André,Hannibal Buress,Robert Smith,Tom Ato,Early McCalister,Pfelton Sutton,Jerry Wheeler,Adora Dei,John Bueno,JV Smith,Jermaine Fowler,Tom Kane,Felipe Esparza,Duane R. Shepard Sr.,Don Peake,Sumiyo Iwasawa,Emilio Palame,Harold Cannon",United States,English,59,5
Justified,,2010–2015,Tous publics,"TV Series,44,m",8.6,"Action,Crime,Drama","U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.","Timothy Olyphant,Nick Searcy,Joelle Carter,Jacob Pitts,Erica Tazel,Walton Goggins,Natalie Zea,Jere Burns,David Meunier,Jonathan Kowalsky,Rick Gomez,Raymond J. Barry,Jesse Luken,Damon Herriman,Jeremy Davies,Justin Welborn,Mykelti Williamson,Kaitlyn Dever",United States,English,78,6
Making a Murderer,,2015–2018,16,"TV Series,1,h",8.5,"Documentary,Crime","Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.","Steven Avery,Dolores Avery,Laura Nirider,Dean Strang,Jerry Buting,Allan Avery,Kathleen Zellner,Barb Tadych,Ken Kratz,Brendan Dassey,Steven Drizin,Len Kachinsky,Kim Ducat,Sandra Greenman,Stephen Glynn,Peter Dassey,Robert Dvorak,Chuck Avery",United States,English,20,2
Voyage dans l'espace-temps,Original title: Through the Wormhole,2010–2017,TV-PG,"TV Series,1,h",8.6,Documentary,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pond...","Morgan Freeman,Sean Carroll,Michio Kaku,Kip Thorne,Carlos Frenk,Max Tegmark,Lee Smolin,Paul Davies,Janna Levin,Frank Tipler,Frank Close,Michael Persinger,Andy Albrecht,Paul Steinhardt,Will Wright,David Spergel,Alan Guth,Steve Nahn",United States,English,62,8
Hercule Poirot,Original title: Poirot,1989–2013,Tous publics,"TV Series,1,h, ,40,m",8.6,"Crime,Drama,Mystery","The cases of eccentric, but sharp, Belgian detective Hercule Poirot.","David Suchet,Hugh Fraser,Philip Jackson,Pauline Moran,David Yelland,Zoë Wanamaker,Richard Bebb,George Little,Phillip Manikum,Jona Jones,Patrick Ryecart,Nicholas Farrell,Barbara Barnes,John Carson,Richard Hope,Richard Durden,Sean Pertwee,Beatie Edney",United Kingdom,"English,French",70,13
Dopesick,,2021,TV-MA,"TV Mini Series,2,h",8.8,Drama,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.","Michael Keaton,Peter Sarsgaard,Michael Stuhlbarg,Will Poulter,John Hoogenakker,Kaitlyn Dever,Rosario Dawson,Jake McDorman,Will Chase,Phillipa Soo,Raúl Esparza,Arischa Conner,Ian Unterman,Brendan Patrick Connor,Andrea Frankle,Lawrence Arancio,Winsome Brown,Andrés Erickson",United States,English,8,1
Yeh Meri Family,,2018,TV-14,"TV Series,30,m",9.1,"Comedy,Drama,Family",Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,"Vishesh Bansal,Mona Singh,Akarsh Khurana,Ahan Nirban,Ruhi Khan,Prasad Reddy,Revathi Pillai,Brij Bhushan Shukla,Nishaad Javeri,Burjor Dastur,Jai Shankar Tripathi,Mazda Taraporewala,Dinesh,Aman Malhotra,Mukesh Yadav,Rajiv Kachroo,Vijay Koshy,Abhay Pannu",India,Hindi,7,1
QI,,2003– ,TV-PG,"TV Series,30,m",8.6,"Comedy,Game-Show","A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.","Alan Davies,Stephen Fry,Sandi Toksvig,Phill Jupitus,Bill Bailey,Jimmy Carr,Jo Brand,David Mitchell,Sean Lock,Rich Hall,Ross Noble,Jason Manford,Clive Anderson,Aisling Bea,Sue Perkins,Rob Brydon,Josh Widdicombe,Jeremy Clarkson",United Kingdom,English,305,19
Crash Landing on You,Original title: Sa-rang-eui bul-sa-chak,2019–2020,13,"TV Series,1,h, ,10,m",8.7,"Adventure,Comedy,Romance",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,"Hyun Bin,Son Ye-jin,Seo Ji-hye,Kim Jung-hyun,Yang Kyung-won,Yoo Su-bin,Lee Sin-young,Tang Joon-sang,Kim Sun-young,Jang So-yeon,Kim Jung-nan,Cha Cheong-hwa,Oh Man-seok,Park Hyoung-soo,Go Gyu-pil,Park Myeong-hoon,Kim Young-min,Hwang Woo-seul-hye",South Korea,Korean,19,1
Behzat Ç.: Bir Ankara Polisiyesi,,2010–2019,TV-14,"TV Series,1,h, ,30,m",8.8,"Crime,Drama,Mystery","Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other crimes that happens on a weekly basis, the undertone of the story leads to an eventual due...","Erdal Besikçioglu,Inanç Konukçu,Ege Aydan,Berkan Sal,Mustafa Balci,Ayça Eren,Fatih Artman,Seda Bakan,Eray Eserol,Berke Üzrek,Zeynep Koltuk,Canan Erguder,Hakan Hatipoglu,Elvin Besikcioglu,Nejat Isler,Güven Kiraç,Pelinsu Pir,Ayça Varlier",Turkey,Turkish,105,4
Kenshin le Vagabond - Le Chapitre de la Mémoire,Original title: Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,1999,Not Rated,"TV Mini Series,1,h, ,58,m",8.6,"Animation,Action,Adventure","In the era of Japan's Meiji Restoration, an assassin regains his humanity.","Mayo Suzukaze,Junko Iwao,Nozomu Sasaki,Masami Suzuki,Shûichi Ikeda,Tomokazu Seki,Wataru Takagi,Ryûsei Nakao,Hirotaka Suzuoki,Akari Hibino,Minoru Uchida,Tetsuya Iwanaga,Satoshi Tsuruoka,Mitsuaki Hoshino,Hiromi Setsu,Rikiya Koyama,Hiroshi Takahashi,Hiroshi Shimozaki",Japan,Japanese,4,1
Yes Minister,,1980–1984,TV-PG,"TV Series,30,m",8.6,Comedy,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.","Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,John Nettleton,Neil Fitzwiliam,Arthur Cox,John Savident,John Pennington,Antony Carrick,Robert Dougall,Richard Vernon,Tenniel Evans,John Barron,Ian Lavender,Nigel Stock,Edward Jewesbury,Rosemary Williams",United Kingdom,English,22,3
The Newsroom,,2012–2014,10,"TV Series,55,m",8.6,Drama,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.","Jeff Daniels,Emily Mortimer,John Gallagher Jr.,Alison Pill,Thomas Sadoski,Dev Patel,Olivia Munn,Sam Waterston,Chris Chalk,Margaret Judson,Adina Porter,John F. Carpenter,Thomas Matthews,Trieu Tran,Charlie Weirauch,Wynn Everett,Riley Voelkel,Chris Messina",United States,English,25,3
Panchayat,,2020– ,16,"TV Series,35,m",8.8,"Comedy,Drama","A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.","Jitendra Kumar,Raghuvir Yadav,Chandan Roy,Faisal Malik,Neena Gupta,Biswapati Sarkar,Pooja Singh,Subendhu Chakraborty,Sushil Tondon,Mubarak Khan,Kamal Rai,Govind Lobhani,Bal Mukund Rai,Salim Ansari,Mohd. Shakir,Dinesh Tiwaru,Kailash Karoshiya,Durgesh Kumar",India,Hindi,8,1
Le jeu de la dame,Original title: The Queen's Gambit,2020,16,"TV Mini Series,6,h, ,35,m",8.6,Drama,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","Anya Taylor-Joy,Chloe Pirrie,Bill Camp,Marcin Dorocinski,Marielle Heller,Thomas Brodie-Sangster,Moses Ingram,Harry Melling,Isla Johnston,Janina Elkin,Matthew Dennis Lewis,Russell Dennis Lewis,Patrick Kennedy,Christiane Seidel,Jacob Fortune-Lloyd,Akemnji Ndifornyen,Annabeth Kelly,Dolores Carbonari",United States,"English,French,Spanish,Russian",7,1
Archer,,2009– ,16,"TV Series,22,m",8.6,"Animation,Action,Comedy",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,"H. Jon Benjamin,Judy Greer,Amber Nash,Chris Parnell,Aisha Tyler,Jessica Walter,Lucky Yates,Adam Reed,Dave Willis,George Coe,Tom Kane,Jeffrey Tambor,Peter Newman,Maggie Wheeler,Leigh Jackson,Christian Slater,Ron Leibman,Neal Holman",United States,English,135,13
Daredevil,,2015–2018,18,"TV Series,54,m",8.6,"Action,Crime,Drama","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,Elden Henson,Royce Johnson,Geoffrey Cantor,Jay Ali,Jon Bernthal,Stephen Rider,Wilson Bethel,Ayelet Zurer,Peter McRobbie,Amy Rutberg,Elodie Yung,Toby Leonard Moore,Joanne Whalley,Vondie Curtis-Hall,Bob Gunton",United States,English,39,3
The Bugs Bunny Show,,1960–1975,TV-G,"TV Series,30,m",8.6,"Animation,Comedy",TV series featuring the classic Looney Tunes animated shorts.,"Mel Blanc,June Foray,Jim Backus,Bea Benaderet,Julie Bennett,Billy Bletcher,Daws Butler,Stan Freberg,Ben Frommer,Joan Gerber,Hal Smith,B.J. Ward,Arthur Q. Bryan",United States,English,78,3
Blackadder the Third,,1987,TV-PG,"TV Series,3,h",8.6,Comedy,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.","Rowan Atkinson,Tony Robinson,Hugh Laurie,Helen Atkinson Wood,Robbie Coltrane,Hugh Paddick,Kenneth Connor,Stephen Fry,Vincent Hanna,Tim McInnerny,Miranda Richardson,Warren Clarke,Lee Cornes,Gertan Klauber,Denis Lill,Nigel Planer,Chris Barrie,Ben Elton",United Kingdom,English,6,1
The Haunting of Hill House,,2018,16,"TV Mini Series,9,h, ,32,m",8.6,"Drama,Horror,Mystery","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","Michiel Huisman,Carla Gugino,Henry Thomas,Elizabeth Reaser,Oliver Jackson-Cohen,Kate Siegel,Victoria Pedretti,Lulu Wilson,Mckenna Grace,Paxton Singleton,Julian Hilliard,Violet McGraw,Timothy Hutton,Anthony Ruivivar,Samantha Sloyan,Annabeth Gish,Robert Longstreet,Olive Elise Abercrombie",United States,English,10,1
Dexter,,2006–2013,12,"TV Series,53,m",8.6,"Crime,Drama,Mystery","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar,C.S. Lee,Luna Lauren Velez,Desmond Harrington,Julie Benz,Christina Robinson,Geoff Pierson,Preston Bailey,Aimee Garcia,Luke Andrew Kruntchev,Erik King,Evan George Kruntchev,Dana L. Wilson,Yvonne Strahovski,David Ramsey",United States,"English,Spanish",96,8
Father Ted,,1995–1998,Not Rated,"TV Series,25,m",8.6,Comedy,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.","Dermot Morgan,Ardal O'Hanlon,Frank Kelly,Pauline McLynn,Tony Guilfoyle,Patrick Drury,Rynagh O'Grady,Maurice O'Donoghue,Arthur Mathews,Don Wycherley,Pat Shortt,Jim Norton,Graham Norton,Don Foley,Paul Woodfull,Joe Taylor,Tom Farrelly,Rosemary Henderson",United Kingdom,English,25,3
This Is Us,,2016–2022,Tous publics,"TV Series,45,m",8.6,"Comedy,Drama,Romance","A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.","Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz,Justin Hartley,Susan Kelechi Watson,Chris Sullivan,Eris Baker,Faithe Herman,Jon Huertas,Mackenzie Hancsicsak,Parker Bates,Hannah Zeile,Lonnie Chavis,Niles Fitch,Logan Shroyer,Lyric Ross,Ron Cephas Jones",United States,English,90,6
Anne with an E,Original title: Anne,2017–2019,13,"TV Series,1,h",8.7,"Drama,Family","The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.","Amybeth McNulty,Geraldine James,R.H. Thomson,Dalila Bela,Lucas Jade Zumann,Corrine Koslo,Helen Johns,Aymeric Jett Montaz,Kyla Matthews,Jonathan Holmes,Lia Pappas-Kemps,Jacob Ursomarzo,Dalmar Abuzeid,Miranda McKeon,Jacob Horsley,Glenna Walters,Christian Martyn,Philip Williams",Canada,"Micmac,French,English",27,3
Monster,,2004–2010,12,"TV Series,24,m",8.6,"Animation,Crime,Drama",A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,"Hidenobu Kiuchi,Liam O'Brien,Mamiko Noto,Karen Strassman,Nozomu Sasaki,Tsutomu Isobe,Richard Epcar,Junko Takeuchi,Keith Silverstein,Ichirô Nagai,Mami Koyama,Tara Platt,Michael McConnohie,Paul St. Peter,Takayuki Sugô,Hideyuki Tanaka,Laura Bailey,Patrick Seitz",Japan,"English,Japanese",75,1
Gullak,,2019– ,See the Top 250 TV shows as rated by IMDb users,"TV Series,24,m",9.1,"Comedy,Drama,Family","Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.","Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta,Harsh Mayar,Shivankit Singh Parihar,Sunita Rajwar,Deepak Kumar Mishra,Saad Bilgrami,Ashwini,Ajay Pal,Abhishake Jha,Rudra Pratap Singh Parihar,Amar Singh Parihar,Dev Kumar,Bilal Khan,Gaurav Sarathe,Shaid Khan,Sweta Joshi",India,Hindi,10,2
Battlestar Galactica,,2003,TV-14,"TV Mini Series,3,h, ,3,m",8.6,"Action,Adventure,Drama","Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.","Edward James Olmos,Mary McDonnell,Katee Sackhoff,Jamie Bamber,James Callis,Tricia Helfer,Callum Keith Rennie,Grace Park,Michael Hogan,Matthew Bennett,Paul Campbell,Aaron Douglas,Barclay Hope,Lorena Gale,Kandyse McClure,Connor Widdows,John Mann,Alessandro Juliani",United States,English,2,1
Jujutsu Kaisen,,2020– ,16,"TV Series,24,m",8.7,"Animation,Action,Adventure",A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"Junya Enoki,Adam McArthur,Yûichi Nakamura,Yuma Uchida,Asami Seto,Mitsuo Iwata,Chris Tergliafera,Nobunaga Shimazaki,Tomokazu Seki,Mikako Komatsu,Koki Uchiyama,Jun'ichi Suwabe,Tara Sands,Kenjirô Tsuda,Shigeru Chiba,Takaya Kuroda,Amber Lee Connors,Takahiro Sakurai",Japan,Japanese,24,1
Mindhunter,,2017–2019,16,"TV Series,1,h",8.6,"Crime,Drama,Thriller","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","Jonathan Groff,Holt McCallany,Anna Torv,Hannah Gross,Sonny Valicenti,Stacey Roca,Joe Tuttle,Zachary Scott Ross,Cotter Smith,Albert Jones,Lauren Glazier,Michael Cerveris,Dohn Norwood,Gareth Williams,June Carryl,Cameron Britton,Nate Corddry,Sierra Aylina McClain",United States,English,19,2
Westworld,,2016– ,10,"TV Series,1,h, ,2,m",8.6,"Drama,Mystery,Sci-Fi","Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandiwe Newton,Tessa Thompson,James Marsden,Luke Hemsworth,Angela Sarafyan,Anthony Hopkins,Simon Quarterman,Rodrigo Santoro,Shannon Woodward,Jimmi Simpson,Talulah Riley,Ptolemy Slocum,Leonardo Nam,Aaron Paul,Ingrid Bolsø Berdal",United States,English,36,4
Gomorra: La serie,,2014–2021,12,"TV Series,55,m",8.7,"Crime,Drama,Thriller",Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,"Salvatore Esposito,Marco D'Amore,Cristiana Dell'Anna,Fortunato Cerlino,Ivana Lotito,Fabio De Caro,Cristina Donadio,Christian Giroso,Giovanni Buselli,Arturo Muselli,Alessandro Palladino,Roberto Oliveri,Riccardo Ciccarelli,Carmine Monaco,Lino Musella,Francesco Capriello,Marco Palvetti,Salvatore Vacca","Italy,Germany","Italian,Neapolitan",58,5
Friday Night Lights,,2006–2011,Tous publics,"TV Series,44,m",8.6,"Drama,Sport","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.","Kyle Chandler,Connie Britton,Zach Gilford,Aimee Teegarden,Brad Leland,Taylor Kitsch,Jesse Plemons,Derek Phillips,Blue Deckert,Minka Kelly,Adrianne Palicki,Timothy F. Crowley,Louanne Stephens,Stacey Oristano,Scott Porter,Gaius Charles,David Cowgill,Gary Teague",United States,English,76,5
X Files: aux frontières du réel,Original title: The X Files,1993–2018,Tous publics,"TV Series,45,m",8.6,"Crime,Drama,Mystery","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.","David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis,Robert Patrick,Tom Braidwood,Bruce Harwood,Dean Haglund,Annabeth Gish,Nicholas Lea,James Pickens Jr.,Sheila Larken,Chris Owens,Don S. Williams,Steven Williams,Jerry Hardin,Laurie Holden,Rebecca Toolan","United States,Canada",English,217,11
La Ligue des justiciers: Nouvelle Génération,Original title: Young Justice,2010– ,Tous publics,"TV Series,23,m",8.6,"Animation,Action,Adventure",Teenage superheroes strive to prove themselves as members of the Justice League.,"Danica McKellar,Nolan North,Jesse McCartney,Stephanie Lemelin,Khary Payton,Jason Spisak,Zehra Fazal,Bruce Greenwood,Troy Baker,Crispin Freeman,Kevin Michael Richardson,Masasa Moyo,Grey Griffin,Phil LaMarr,Eric Lopez,Greg Cipes,Jason Marsden,Dee Bradley Baker",United States,English,98,4
Parks and Recreation,,2009–2015,Tous publics,"TV Series,22,m",8.6,Comedy,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,"Amy Poehler,Jim O'Heir,Nick Offerman,Chris Pratt,Aubrey Plaza,Aziz Ansari,Retta,Rashida Jones,Adam Scott,Rob Lowe,Jay Jackson,Paul Schneider,Ben Schwartz,Mo Collins,Yvans Jourdain,Jon Glaser,Billy Eichner,James Greene",United States,English,124,7
Blackadder II,,1986,TV-PG,"TV Series,2,h, ,56,m",8.6,Comedy,"In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.","Rowan Atkinson,Tony Robinson,Tim McInnerny,Miranda Richardson,Stephen Fry,Patsy Byrne,Tony Aitken,Hugh Laurie,Tom Baker,Holly De Jong,Gabrielle Glaister,Ronald Lacey,Miriam Margolyes,Max Harvey,Simon Jones,Rik Mayall,Cassie Stuart,Bill Wallis",United Kingdom,English,6,1
Demon Slayer,Original title: Demon Slayer: Kimetsu No Yaiba,2019– ,Tous publics avec avertissement,"TV Series,25,m",8.7,"Animation,Action,Adventure","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Natsuki Hanae,Zach Aguilar,Abby Trott,Akari Kitô,Aleks Le,Hiro Shimono,Yoshitsugu Matsuoka,Bryce Papenbrook,Doug Erholtz,Johnny Yong Bosch,Brook Chalmers,Takahiro Sakurai,Saori Hayami,Erika Harlacher,Takumi Yamazaki,Shinya Takahashi,Hôchû Ôtsuka,Greg Chun",Japan,Japanese,34,2
Peep Show,,2003–2015,TV-MA,"TV Series,25,m",8.6,Comedy,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,"David Mitchell,Robert Webb,Matt King,Olivia Colman,Neil Fitzmaurice,Isy Suttie,Paterson Joseph,Sophie Winkleman,Jim Howick,Rachel Blanchard,Elizabeth Marmur,Vera Graziadei,Camilla Beeput,Emily Bruni,Paul Clayton,Cariad Lloyd,Catherine Shepherd,Endy McKay",United Kingdom,English,54,9
Sarabhai V/S Sarabhai,,2004–2017,TV-PG,"TV Series,30,m",8.8,Comedy,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.","Satish Shah,Ratna Pathak Shah,Sumeet Raghavan,Rupali Ganguly,Rajesh Kumar,Ghanshyam Nayak,Deven Bhojani,Arvind Vaidya,Shilpa Mehta,Rita Bhaduri,Sheetal Thakkar,Vaibhavi Upadhyay,Aishwarya Sakhuja,Gurpal Singh,Gerald Stone,Aatish Kapadia,Jamnadas Majethia,Meher Acharia-Dar",India,"Hindi,Gujarati,English",79,2
Code Geass: Lelouch of the Rebellion,Original title: Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,2006–2012,13,"TV Series,24,m",8.7,"Animation,Action,Drama","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all powerful empire","Jun Fukuyama,Takahiro Sakurai,Johnny Yong Bosch,Yukana,Ami Koshimizu,Yuri Lowenthal,Kate Higgins,Karen Strassman,Brian Beacock,Noriaki Sugiyama,Tetsu Shiratori,Akeno Watanabe,Liam O'Brien,Sayaka Ôhara,Kikuko Inoue,Mitsuaki Madono,Kirk Thornton,Deborah Sale Butler",Japan,Japanese,54,2
Formule 1: Pilotes de leur destin,Original title: Formula 1: Drive to Survive,2019– ,7,"TV Series,40,m",8.6,"Documentary,Sport",Docuseries following the FIA Formula One World Championship across multiple seasons.,"Valtteri Bottas,Will Buxton,Pierre Gasly,Lewis Hamilton,Charles Leclerc,Kevin Magnussen,Sergio Pérez,Daniel Ricciardo,Kimi Räikkönen,Carlos Sainz,Lance Stroll,Max Verstappen,Sebastian Vettel,Esteban Ocon,Lando Norris,George Russell,Toto Wolff,Romain Grosjean",United Kingdom,"Arabic,English",31,4
Mad Men,,2007–2015,Tous publics,"TV Series,47,m",8.6,Drama,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","Jon Hamm,Elisabeth Moss,Vincent Kartheiser,January Jones,Christina Hendricks,Aaron Staton,Rich Sommer,John Slattery,Kiernan Shipka,Robert Morse,Christopher Stanley,Jessica Paré,Jay R. Ferguson,Michael Gladis,Bryan Batt,Alison Brie,Jared Harris,Kevin Rahm",United States,English,92,7
